CURRENT OPTION B CLEANUP SUMMARY
===============================
Dataset: OptionB
Original files for the current slot set: 18600
Number moved from active dataset: 942
Number remaining in active dataset: 17658
Complete clean+noisy flagged pairs moved: 471
Single-condition flagged groups retained: 114

Only pairs flagged in both clean and noisy conditions are archived.
Single-condition flags remain active. Historical cleanup audits retain their original records.

Label | Original | Archived | Active
------|----------|----------|-------
ALARM_6_00AM | 600 | 16 | 584
ALARM_8_00AM | 600 | 14 | 586
ALARM_9_00PM | 600 | 16 | 584
BRIGHTNESS_100 | 600 | 6 | 594
BRIGHTNESS_20 | 600 | 14 | 586
BRIGHTNESS_60 | 600 | 10 | 590
CALL | 600 | 102 | 498
COLOR_BLUE | 600 | 10 | 590
COLOR_GREEN | 600 | 22 | 578
COLOR_RED | 600 | 32 | 568
CREATE_REMINDER_DRINK_WATER | 600 | 4 | 596
CREATE_REMINDER_EXERCISE | 600 | 8 | 592
CREATE_REMINDER_STUDY | 600 | 22 | 578
LIGHT_OFF | 600 | 22 | 578
LIGHT_ON | 600 | 30 | 570
LIST_REMINDERS | 600 | 42 | 558
MESSAGE | 600 | 72 | 528
NEXT | 600 | 80 | 520
PAUSE | 600 | 104 | 496
PLAY_MUSIC | 600 | 32 | 568
STOP | 600 | 68 | 532
TEMPERATURE_18 | 600 | 2 | 598
TEMPERATURE_22 | 600 | 0 | 600
TEMPERATURE_26 | 600 | 2 | 598
TIME | 600 | 52 | 548
TIMER_10s | 600 | 12 | 588
TIMER_1m | 600 | 32 | 568
TIMER_30s | 600 | 6 | 594
VOLUME_DOWN | 600 | 20 | 580
VOLUME_UP | 600 | 34 | 566
WEATHER | 600 | 56 | 544
